"-68,81,471.48,0.785,0.563","0,0,0.00,0.000,0.000","-2,13,1000.00,-1.571,0.103","-10,28,999.83,3.142,0.120","-19,45,1409.95,-2.356,0.136","-26,60,1000.00,-1.571,0.157","-34,72,353.68,-2.356,0.183","-44,82,282.89,-2.356,0.220","-54,89,705.98,-2.356,0.303","-67,86,333.41,3.142,0.342","-68,81,471.48,0.785,0.563"
"-38,-81,67.45,2.356,0.453","0,0,0.00,0.000,0.000","-1,-11,1413.31,2.356,0.119","-5,-20,1414.21,2.356,0.134","-11,-30,2236.07,2.678,0.153","-17,-37,200.00,3.142,0.178","-22,-44,166.58,1.571,0.221","-26,-52,166.67,3.142,0.321","-30,-60,244.75,3.142,0.370","-33,-70,499.62,1.571,0.398","-38,-81,67.45,2.356,0.453"
"-12,-147,29.41,1.571,0.429","0,0,0.00,0.000,0.000","-1,-14,998.41,3.142,0.094","-3,-32,3000.00,1.571,0.112","-7,-52,499.26,1.571,0.132","-12,-74,666.71,1.571,0.152","-14,-90,2000.00,1.571,0.171","-15,-106,166.58,1.571,0.208","-17,-120,249.99,1.571,0.292","-15,-134,235.71,0.785,0.341","-12,-147,29.41,1.571,0.429"
"-103,-46,235.73,2.356,0.161","0,0,0.00,0.000,0.000","-8,-2,1414.21,2.356,0.080","-16,-5,1000.00,3.142,0.090","-28,-12,1000.00,1.571,0.099","-41,-19,1999.67,3.142,0.106","-58,-26,2209.36,2.678,0.115","-72,-33,2236.07,2.678,0.123","-87,-40,1999.67,3.142,0.133","-94,-42,2000.00,3.142,0.141","-103,-46,235.73,2.356,0.161"
"-10,59,29.77,-2.356,0.284","0,0,0.00,0.000,0.000","1,6,665.97,-1.571,0.097","1,12,1000.00,-1.571,0.104","-2,20,1000.00,-1.571,0.113","-3,27,1023.13,-1.571,0.122","-5,33,499.20,-1.571,0.133","-7,41,250.15,-1.571,0.150","-10,45,117.86,-2.356,0.177","-11,51,333.30,-1.571,0.206","-10,59,29.77,-2.356,0.284"
"79,-141,353.26,2.356,0.465","0,0,0.00,0.000,0.000","11,-5,333.41,0.000,0.087","27,-21,2828.43,0.785,0.101","48,-43,3605.55,0.983,0.114","73,-72,2236.07,1.107,0.126","96,-103,3162.28,1.249,0.139","104,-128,998.88,1.571,0.153","105,-145,250.56,1.571,0.177","91,-137,447.59,-2.678,0.284","79,-141,353.26,2.356,0.465"
"-68,-1,111.07,3.142,0.619","0,0,0.00,0.000,0.000","3,-12,250.00,1.571,0.049","5,-15,45.46,3.142,0.196","-7,-15,400.07,3.142,0.323","-15,-11,250.02,3.142,0.374","-27,-8,400.09,3.142,0.411","-36,-6,500.87,3.142,0.445","-46,-3,499.08,3.142,0.514","-57,-1,337.86,3.142,0.555","-68,-1,111.07,3.142,0.619"
"63,45,32.41,-2.678,0.324","0,0,0.00,0.000,0.000","7,-1,999.12,0.000,0.090","15,5,999.60,-1.571,0.103","25,10,1413.47,-0.785,0.111","34,14,1998.72,0.000,0.121","42,20,1000.00,0.000,0.129","50,26,996.98,0.000,0.139","58,32,996.04,-1.571,0.159","62,40,665.92,-1.571,0.221","63,45,32.41,-2.678,0.324"
"55,14,200.00,-1.571,0.237","0,0,0.00,0.000,0.000","7,-2,745.53,0.464,0.080","14,-2,1000.00,0.000,0.094","22,-2,499.86,0.000,0.106","29,1,2229.32,-0.464,0.115","35,3,500.27,0.000,0.125","40,6,333.23,0.000,0.135","45,7,500.07,0.000,0.151","51,11,172.05,-0.464,0.207","55,14,200.00,-1.571,0.237"
"-162,82,21.74,3.142,0.728","0,0,0.00,0.000,0.000","-20,4,499.08,3.142,0.116","-47,12,998.76,3.142,0.136","-74,23,1000.00,3.142,0.156","-95,35,353.77,-2.356,0.202","-106,47,353.56,-2.356,0.270","-123,55,168.27,-1.571,0.352","-136,67,142.93,3.142,0.471","-147,76,202.13,-2.356,0.608","-162,82,21.74,3.142,0.728"
