"-68.0,81.0","0.0,0.0","-2.0,13.0","-10.0,28.0","-19.0,45.0","-26.0,60.0","-34.0,72.0","-44.0,82.0","-54.0,89.0","-67.0,86.0","-68.0,81.0"
"-58.845909316153886,109.55576859752334","-2.1863652826040987,-4.15259002898633","2.2758066754589823,6.816168121293853","-5.54134766022444,31.337818241273133","-11.295804204119287,44.31060737847059","-18.974205254231762,63.82963111782268","-22.146347888847657,78.22251051040807","-28.86266043665023,86.97108416508891","-44.2093460457246,98.62759455429301","-43.94075966545539,91.50811044802495","-55.980514834550625,84.06449718979022"
"-71.50213334927606,104.37949964943394","-5.203519791027537,-6.883010202922952","-0.0035428520132367858,15.576335524766856","0.6513086127346206,16.957846908015394","-11.473481540323519,43.910536979194426","-21.002591465733495,54.7390644862495","-20.334077738082897,67.84308189712044","-22.423880007315525,81.83127039690012","-29.397051052457574,90.02962057390776","-44.24399691385482,91.0466004424184","-51.317427416969046,85.00114181699527"
"-65.98801029652347,96.02578219969254","-3.412871088780262,-1.0405103359316796","-3.7094179678138497,15.190966773265101","-9.07325485267651,30.604544089312107","-18.926835460179667,41.9572299335149","-28.60939750762025,66.44573662302669","-34.489836977772775,71.91910410966588","-42.45008915654013,78.3713463676708","-50.07633241030048,94.67965502270218","-65.90370200679243,85.61858460032254","-58.70470108375375,76.14384809571393"
"-38.0,-81.0","0.0,0.0","-1.0,-11.0","-5.0,-20.0","-11.0,-30.0","-17.0,-37.0","-22.0,-44.0","-26.0,-52.0","-30.0,-60.0","-33.0,-70.0","-38.0,-81.0"
"-39.63372954274278,-78.74433144433523","2.393541284402388,8.053333851380856","1.426218835653283,-6.015331290316885","-4.675163576110836,-16.837428795461506","-11.027409393621465,-29.941247835350207","-20.58931830873741,-26.973836455825534","-24.44746085414131,-39.854069041875334","-23.788189896255496,-37.058449671663745","-31.726987578292277,-51.857564870614645","-34.40411881800933,-54.511113647122336","-40.382246227192475,-63.20437768800789"
"-20.54662515869743,-100.8648062214065","-2.3622629536004967,5.886114839464815","2.1380778991763454,-13.564604851603088","-3.6531252975921387,-6.630462564113751","-4.703356168103987,-32.23378662016169","-7.056236962087235,-46.58091175470507","-8.498606845537601,-53.52756070478954","-11.483099089417687,-62.14819954148035","-14.968130534036858,-64.612153151644","-13.699451567982138,-82.9225117563587","-17.927807019874,-91.17628666771475"
"-40.53490912795519,-60.19898807913262","-1.144611125874894,-4.63796099474947","-4.383540693853726,-15.044902795891783","-9.806128131849256,-19.438490895046442","-14.456971496394116,-28.413227164689694","-25.776232086317865,-36.117084743105266","-25.54011303775287,-38.452009173585715","-35.78141167433638,-46.22595777342384","-43.57274984825993,-62.780189400645","-43.25307255092684,-56.53484508560309","-49.43406690817531,-72.24941661144143"
"-12.0,-147.0","0.0,0.0","-1.0,-14.0","-3.0,-32.0","-7.0,-52.0","-12.0,-74.0","-14.0,-90.0","-15.0,-106.0","-17.0,-120.0","-15.0,-134.0","-12.0,-147.0"
"-30.91827190590257,-130.9540923432488","1.2137238047523662,0.4915616739532343","-1.7895834386884686,-2.4988737808788337","-12.543674130312137,-33.66239780398306","-21.746926873806856,-53.090187314628416","-29.721612225696894,-71.31729098242016","-37.65720601315212,-94.30508748797405","-41.07607466754586,-103.22536018116327","-48.02102317138582,-116.40428532258898","-46.15377493574319,-120.42697430569297","-47.87274559383633,-139.9894351219452"
